account_id,customer_id,account_type,balance_usd,open_date
ACC5S5DCR1JOMOG,CUSRS77X7CFDJH1,Savings,50958.86,2020-06-30
ACC997YS3R5U9VD,CUSN6J3YS069F9C,Savings,14778.32,2023-02-12
ACC8P242ST3IZJE,CUSMD0VC9KPZ2OK,Checking,32267.22,2021-11-12
ACC2JUY10LEALF3,CUSK29S484K5PFI,Savings,65271.92,2022-12-27
ACCLL10E0LZT4KR,CUSFILI0QIZR0RL,Checking,162201.51,2019-03-16
ACC3EYFK8NCMQF7,CUSEM8YEAN7TIHN,Savings,57274.11,2021-12-15
ACCN2P6YTM0NXUU,CUSFSNJNLQS0LXZ,Savings,44135.66,2022-03-08
ACCX511348FWRV7,CUSJT2SOPJTDR8R,Business,68556.43,2023-06-26
ACCT8A0ZDTATY1P,CUSBB5BYJB3G7LM,Savings,25496.07,2025-08-22
ACCCW5KZKW7VFZD,CUSI9W1TCD0LKXK,Checking,89847.85,2020-04-01
ACC1X2GNIFBCQ76,CUSWDA03DAZ3RWB,Business,109189.23,2025-02-12
ACCG515YO0NRGM2,CUS63ZS76O9GRVZ,Checking,6851.7,2023-03-06
ACCB8GJL48RK2R3,CUS9KHFVIRF5S4O,Business,46616.03,2023-04-22
ACCYUUQM4L6VWC6,CUSUM8ZF0HKS8V1,Savings,115418.2,2019-12-13
ACCA7Z6R9S9ZMP5,CUSQFUYSUHDOH3X,Savings,150021.41,2023-12-08
ACC23FGDNMYKEHS,CUS97G41X6U9YZ3,Business,176486.05,2025-02-04
ACC0AENQVIFIJNN,CUSBIO45L69GFFR,Savings,80659.0,2022-09-28
ACC3LHU6ZT60QOZ,CUSDY6L0BWREQN4,Savings,96260.95,2023-03-25
ACCQDA2YMTEZB6W,CUSBCUCM38RX8E4,Checking,34547.07,2021-02-26
ACC2J9MMQ0S5FOU,CUS2A0NW60JSCTO,Business,33655.71,2024-04-22
ACCQXAC82H7L1D8,CUSJBOK340RWX0Y,Business,184194.62,2024-12-02
ACC0LE4N5059HDN,CUSGYQBGVTCD3GL,Checking,33913.05,2022-04-10
ACCHKZC7PQWLJZQ,CUS5G74KK313M91,Checking,50539.46,2023-11-21
ACC32KSDWRD8RID,CUSUU2HBGJP5R5P,Business,93567.95,2019-12-23
ACCSJQJ33HXUQWD,CUSLNOC9BC29U2E,Checking,2543.92,2019-04-11
ACCMR2R9KG7J2RR,CUS425X83P3PI4J,Checking,66825.52,2024-11-28
ACCHD809CQ7LP0W,CUS1ZM5J5Y5ROWL,Checking,150241.24,2019-06-30
ACCMUPQ47NYDOI2,CUSKG6YDWCKFBDT,Checking,192502.0,2021-08-10
ACCVQ6KCV39NZSQ,CUSX33S0SNVBYRH,Business,117928.53,2021-01-10
ACCNZVHKRUUHP3L,CUSHRJR6QTP9PRB,Business,172841.28,2020-05-10
ACCOWZPKFLFXUZY,CUS53NUP3QPYE3U,Checking,53005.12,2019-05-30
ACC8LFRMACJL1QI,CUS4YO00SS2KFYR,Checking,113805.21,2022-01-17
ACCT3UBMZFGJX88,CUSEJS01PW0KV9H,Business,163281.57,2025-07-07
ACCCV5LYA4R6NKY,CUSKK7VBEE9OILN,Checking,53236.57,2025-02-17
ACCYIAI6RHGPWPM,CUS7HQO0O0N3I0P,Checking,98527.34,2024-05-19
ACCT29EVR7UMPLF,CUSKJ5HIAV3LE1S,Checking,194132.42,2019-01-06
ACC36CD1BM0NWM5,CUS5JH61H8X4WL2,Checking,85902.41,2025-04-12
ACCRMB92TR00F3T,CUSVOQH3C0FEONG,Checking,24323.38,2019-05-05
ACC898EB9WDPYUD,CUSPF73AYI3LP9Q,Checking,118538.41,2022-02-25
ACCSJTXDUJXBW8B,CUSKKDG8XVUA4DV,Checking,43771.06,2021-09-11
ACCDYGIB9H1WJ76,CUSKK7I7WDRTTNA,Savings,28284.33,2022-12-05
ACCCGPV7OYWWAZC,CUS39PSFEQKKE0V,Checking,93216.51,2023-05-09
ACC3ZDJG78KIWVJ,CUSZM8O2KSB4F02,Checking,31746.04,2025-07-16
ACC9AE9VUGX31MC,CUSK103URZ2HMGG,Checking,168790.82,2020-08-03
ACC55J68Q95CZ8W,CUSO3XD9BCUX04N,Checking,199293.25,2020-02-23
ACCKIORE1DBGYSE,CUS08S9TSBZK3RH,Business,60596.93,2025-05-05
ACC6X4SE0BAFKIL,CUSFGAVXREYU7JC,Business,127448.2,2022-11-07
ACCURIUQ9RB2UII,CUS0QP0YWKDT4NB,Checking,119091.98,2020-06-07
ACC7FL2Y04JXIB3,CUS4H7LPWKWLABS,Business,81924.1,2020-09-22
ACCAFPUHSN2DRKG,CUSE510W3OEOX9X,Checking,46528.02,2020-10-13
ACC5HVKNN5UPZGP,CUSGPFPRCOXR1TJ,Business,75629.78,2020-08-13
ACC177Q89M8E5V0,CUSFL3TT7KO9Q4B,Checking,22184.54,2024-02-23
ACC89KXL0N30YUU,CUSYLI0Z5MMS9YZ,Checking,82710.48,2022-01-21
ACCM117Z5BXPG17,CUSRND57GHX66PN,Checking,77752.86,2021-07-10
ACCZA6ZRBH8TM5V,CUS1755XWR2D8KC,Business,99470.25,2019-10-17
ACCJ0HPWSGCVMVA,CUS48PJQ0LW9RZV,Business,116938.14,2019-04-19
ACCO1OMF6W2GCXS,CUSSKRMI1HVSQV9,Business,134010.05,2023-10-19
ACCYEFCVCZYG5BD,CUSL35SJ4Z617T3,Business,41908.71,2020-02-29
ACCC9BVWZM20KGX,CUSPTEX34GS5P62,Savings,76832.48,2020-09-02
ACC6IBG7L8FJLBT,CUSY7GZ3EPBH59F,Savings,79946.65,2022-02-14
ACCGUXZH2CGGBXF,CUSPS4E8IBZVA35,Business,69313.09,2020-05-05
ACC77AJVGLW1CXR,CUSS0DQ96ZFDUJQ,Business,168281.54,2021-02-03
ACCSBQ181G577WU,CUSCSV6VPFJ6SDE,Savings,139541.37,2019-11-19
ACCCPD05MH47CG0,CUS88XN4NVKT9LR,Savings,21477.36,2025-03-03
ACCTI5EEC1MEPKB,CUSDNC3QBUJQS02,Savings,15265.18,2022-09-09
ACCH4XATRZ4HPO1,CUS5T2G08Y6JGJU,Business,90255.81,2019-07-07
ACCPCEUCHWJ9BH2,CUSWQQ62S70FPYG,Checking,163613.54,2020-05-31
ACCLBRJLORNEOFN,CUSSQZ1H9IKJHAX,Checking,90304.09,2021-12-01
ACCNQQ5464LDJWD,CUS6VQZVEVC7IC1,Savings,108067.04,2020-06-16
ACCGDVPEUUIFYRV,CUS5H8KQ4496L4V,Business,120881.76,2019-12-01
ACC7ERE9EAJ5OGA,CUSC6CNH8EAYHAD,Savings,182281.98,2022-03-29
ACCL0X4E8O9ZP55,CUS1E5TPT0ECRBT,Checking,143902.76,2020-01-30
ACCKZDKJFQ944RY,CUS27676IK6FXSS,Savings,145586.82,2023-04-02
ACCMVEC725M6RSF,CUSFTE5KPMCZF1M,Checking,61371.09,2020-10-28
ACCY87X4MQM6ZRA,CUSVS99VX5L69IY,Business,151502.8,2020-03-04
ACCNZUFWAB4DIL2,CUSRPFPYQKAZRHV,Savings,43646.15,2020-09-08
ACC8WOFSCEWK0V9,CUSMBOFFTSARAWJ,Business,19047.32,2022-02-17
ACCWLQMXZ63B590,CUSZGV7X821C9ON,Savings,80336.77,2024-12-08
ACCL21USNOYEW9S,CUSMZNN526EDO1H,Checking,150731.23,2022-10-29
ACC4EVS54X1P9KR,CUSNFJC1RJ1JJ1I,Checking,101426.05,2025-04-02
ACCW5IWQHW29KHH,CUSQENRQEP8HT61,Business,15323.68,2022-08-08
ACCCCB4S3I7R8KE,CUSQR0OZS6G9JI8,Business,162607.92,2024-08-14
ACCTAMYOKK1ZCRH,CUS33KVXYMDYISB,Checking,103916.7,2025-03-02
ACCQHE6IJXIA6BO,CUSG6IAQIIJNN0D,Business,46967.8,2022-10-14
ACC3DY063D9B4WK,CUSXQ190U1WARZX,Checking,129880.32,2020-12-18
ACCU55P1U1RHZGP,CUSHINOEVZRPE7P,Business,199215.98,2022-01-23
ACCDZR32O4EUJJY,CUSXG6G19F0DSOP,Checking,152132.39,2019-03-06
ACCJQC9L76JCYD4,CUS5QVVMDRYTKV6,Savings,172376.16,2019-01-28
ACCLATRE6U7ZTES,CUST3S4IR7222SM,Savings,84322.98,2023-08-08
ACC33JCWH8JDH0E,CUSV4XGITI922M5,Business,145315.62,2025-08-02
ACCBXZW3ULJHWFY,CUSBOZ0Y47KC2E6,Checking,183798.36,2021-02-26
ACCS0PXYCMRKXMD,CUSYR7S9R37V386,Savings,143369.27,2021-04-18
ACC12HB3LGGNI1I,CUSO3D41CZJE2ST,Savings,81044.0,2021-05-15
ACC18CRNYWV07PG,CUS02V4JD44GU3V,Business,121985.15,2021-06-03
ACCBSZEHS7B0GV7,CUSN7P4Y8O8DM8N,Business,82862.14,2023-05-08
ACC6KQB7DURYEXI,CUS6AXE5KNBINC2,Savings,124635.48,2022-02-04
ACCEUBCT0LJLRNO,CUS1K9N908R252K,Savings,98104.82,2019-10-08
ACCRQ2A9SNJEJB5,CUSL7JXOB09QCII,Checking,53195.86,2024-06-09
ACC9RQKII4VRPXT,CUSXHF1FF1NMT3Z,Checking,184952.87,2021-06-23
ACCE2UWLUE4HTRY,CUS8RL5B04SDGS8,Savings,135606.24,2024-06-28
ACC9S70KRTEWPAG,CUSWFOS5XFXDJ34,Checking,171609.42,2025-03-02
ACCRTM21UDGNF6V,CUS69A5I8RDN16R,Savings,12331.96,2020-02-19
ACCQA5T0I0ZPL73,CUSPKLMPOVHL637,Business,72652.28,2025-05-23
ACCAY5V7QDIRNCQ,CUSLVJLB7LGO3B7,Business,94260.61,2024-04-12
ACC7EVZLGY3X4DO,CUSGHOOB6TGXTRY,Checking,149054.97,2019-09-20
ACCNRPZ71303OZ9,CUSA109573WNG46,Checking,79938.65,2019-03-16
ACCSTZZXEJ8QHB2,CUSCQRJWP5QL0YV,Business,49044.56,2021-12-05
ACCEZXDJVVDDZB1,CUSPK2CKBGTDIQP,Checking,9511.64,2025-01-13
ACC3L32XSCH4UX2,CUSMVOP8VB7GB5K,Savings,23886.34,2022-07-10
ACCN35OV554YTG8,CUSCJTY6ORGK8AO,Savings,114943.1,2020-09-29
ACCVROE5SKBANST,CUSHDVRU6FFRO78,Checking,81529.27,2023-10-15
ACCR4T2ASHEKEEF,CUSFJ57C1RTUJS0,Business,194880.48,2025-12-22
ACC3DKVBPIPU0KC,CUSDLOTH1F5WL0N,Checking,181887.94,2025-01-22
ACC31T4HJ0W2FS5,CUS9LPICP1JFIIH,Business,114432.32,2020-07-29
ACCVIY1HHU8BMC9,CUSVY1GFQ6ES3BE,Business,10853.91,2019-03-20
ACCU3536PGKBZ4I,CUSHLUR7W9YL9NC,Checking,148096.27,2020-06-02
ACCT61KSAM4SRET,CUS11L7BTK2W3IJ,Checking,174205.14,2023-11-09
ACCVS0R705Q25S3,CUSRTT7IEWGPJZP,Checking,26400.29,2021-06-28
ACCS02HJ6KF5OXZ,CUS1W1NZ8WFOGRR,Business,77318.29,2019-02-03
ACCDYSBOHU732FT,CUSFG9CG50I66AX,Savings,171527.3,2025-08-23
ACC8LATAWM1LC9T,CUSCYN83Q91WU9K,Business,198792.61,2019-11-25
ACCT7S2S0A8IYJI,CUS2YEK687ZVAUB,Checking,1142.19,2023-07-28
ACCWR3XGCE4F1LU,CUSDC2PPH3SCUGK,Savings,110205.9,2022-01-01
ACCG4Y4IVF73IRP,CUSYVGK3UMYJDQH,Checking,56112.08,2025-01-28
ACCW5CEUELGC0CB,CUSJ1V0P4AQ9T5I,Savings,15337.13,2020-02-23
ACC1GJCQMX85CTI,CUSNMK532G9EM1X,Savings,2084.63,2022-09-10
ACCNPEVU5S2QHOU,CUSPACR67ZKHGAL,Savings,74537.21,2021-12-30
ACCOBXLZK7SO6TM,CUSDKGW7V5A62DE,Savings,141985.48,2021-04-02
ACCYNANV45N4YFC,CUSL074WHR2PIET,Checking,41146.61,2025-09-04
ACCT5DF261U05NV,CUS99U542ZP03KM,Checking,159281.78,2023-03-02
ACC2TBO9HH2VE4U,CUSM4T2CS0LVGX7,Savings,17872.04,2019-03-05
ACC3NEIWQ7SLT0I,CUSM3MVDZC786W0,Savings,30620.95,2022-02-23
ACCLQHA1JE4TE04,CUSAB412385QV6J,Savings,130265.3,2025-09-19
ACCX9626CN17W0V,CUSSROHG3HH0XIP,Business,153268.96,2020-07-16
ACCCAJ2UHE9VF38,CUS4BSCGUVRP9EX,Business,52960.88,2024-09-17
ACCREDDWR36Z9SI,CUSLCQSUGABIMI0,Checking,25830.37,2020-07-18
ACCGY601LY9WOPK,CUS1IMGQPBLNDNM,Checking,33124.88,2021-02-07
ACCYISOP95CC2W5,CUSCB3UUIE7LHAB,Savings,54497.06,2023-05-21
ACCNTG63IYGCZYK,CUSPMZPGCZ9ZNWL,Savings,10622.42,2023-04-28
ACCTPPYHF9TK5KC,CUSZTFB3XMAGEXG,Business,4879.36,2019-11-20
ACCMYZLYK0F0THJ,CUS9M7SOIR9H9O9,Business,91153.78,2022-06-12
ACC02PNQMTQDB9D,CUS80HOY9YKY4MI,Checking,198671.72,2025-02-18
ACCVJCT4OXPSWVR,CUSM7IAVSBAEU72,Savings,145582.33,2022-04-14
ACCKM2KDMZUWHK4,CUS6LGMPZT776BJ,Checking,141109.62,2019-05-28
ACCFI1O91UIZLJB,CUS6MEJ55IQM851,Checking,127239.73,2025-03-07
ACCJTFOGRL6XOLG,CUSF4MTBLQBY7JN,Savings,134215.8,2020-03-04
ACCQ1TRKHCK9AMQ,CUSSOOYSKUQHUFQ,Business,186100.48,2020-02-08
ACCRE3KHNKE9CHK,CUSLHAPWF520XKI,Checking,113036.59,2025-10-09
ACC5I0GHBTYLT56,CUSQFYMGRLZO2XQ,Savings,184450.48,2021-04-30
ACCOJ0Z8QZRQZRB,CUS05UNMP6T6LLC,Savings,22380.99,2025-08-20
ACC7ISOV28Z34HV,CUSTMDMXLPL08GX,Checking,175973.94,2019-10-12
ACCW7YKGIA8DVK8,CUS5DZ63MJ3Y681,Business,159149.31,2019-11-10
ACCFHLPPG7PXGNR,CUSJ4S0X2OUOWOJ,Business,127137.02,2019-07-09
ACCM0BJBSXSZM3D,CUSW0QDOT39FM6S,Savings,82667.56,2021-05-04
ACC666JBHBZPMCX,CUSMZ6N0U3IH1KI,Savings,35997.77,2021-08-27
ACC5EUUHINORQN6,CUSX0XN7E566E2K,Checking,7362.31,2023-06-15
ACC4J90860G3793,CUSH1T0Z3CT37SY,Savings,164364.22,2019-08-21
ACCJEMN76SEJI7D,CUS7HHNNDO8PERH,Business,11271.06,2021-11-04
ACCPUQ5ENTQ6GHB,CUS3EJVG94UP6F9,Checking,105196.89,2020-05-08
ACCT7SFV6VZIO8I,CUSTVYUKT5B1YM2,Checking,86241.23,2024-10-21
ACCFQEJ446Y48PD,CUS4KEYR8UET6YC,Savings,27074.55,2020-07-07
ACCG3NJOQHE68QH,CUSUVLYABZM36WK,Savings,117756.67,2023-03-14
ACCNMY16USOB4IM,CUS928Q0P5MW1C8,Savings,183752.49,2019-06-11
ACC4348WKTVOO6Q,CUSFIYY6WGN8WVM,Business,18899.7,2023-05-05
ACCU9E617GG4UVY,CUSSTQPP94MFSS1,Business,108748.42,2022-07-20
ACCVTZ6AO8FC1AB,CUS2D7J0GMZ24IP,Business,109598.55,2019-02-02
ACCRXCYZC59N127,CUSHSDX063MGW3I,Checking,38810.99,2022-06-22
ACCSPPMS1462ANX,CUS01HK7VEOZ205,Checking,90322.57,2025-11-03
ACCJ0KZFGVLUCB7,CUS1SQTUD873H64,Checking,67027.75,2021-09-06
ACCK2JZWA6YWJTA,CUS39D596INQ8UJ,Checking,155701.11,2025-11-28
ACC98Q26RVQ1XA4,CUSOZD7E5NIW69T,Savings,32372.39,2025-06-06
ACC5UEZW4W5N9ME,CUSGV1JV7R2MTQI,Business,420.22,2023-11-04
ACCDIH4JC08DT7R,CUSNC17IQWY93P0,Checking,53240.84,2021-05-02
ACCH00D7553LI8N,CUSU2OJ8NKAOLRN,Checking,33429.72,2021-01-27
ACCLVNEMSITY31B,CUS63HVARNQF8GI,Savings,193507.26,2020-07-21
ACCYZ7MQIRY9PUP,CUSKLPT7BB8D7CT,Business,79504.13,2024-09-17
ACCQ6TPB5VQJ1ZV,CUS3UOG8KRANU50,Savings,82304.13,2019-11-21
ACCZKRC7AT8YT0H,CUS2M447XP649CN,Savings,123893.99,2025-03-24
ACCHTY64LC2O3X5,CUS1A8UXMIAZA0H,Savings,6465.31,2021-01-29
ACC0YTZFN1W31CU,CUSPR0BD1F7ZAOG,Business,15437.78,2020-11-12
ACC46RH8PZ3F1LH,CUSJHS1A77FUZ9J,Checking,141629.59,2020-12-25
ACCPBEK0CY6L4PQ,CUSA74GKFA3MBLT,Savings,185911.53,2022-03-29
ACCSMK5V0CM4WM8,CUSQAJZER9SY15L,Savings,98373.83,2024-10-26
ACCZRC44JDW988D,CUSKGTCH4JB5DF7,Savings,110524.69,2025-12-22
ACCZ71PXWM0AU4I,CUSB2PQJEC5FCH5,Savings,161482.05,2024-11-28
ACCSTBWVUKNTS0Q,CUS341D4ZBICG9Z,Business,57555.95,2022-11-27
ACCE6DN9LJO4U0M,CUS641SRU27Q96M,Checking,96074.2,2023-08-28
ACCBPWPVJVV3V57,CUSFBU8PYXD6VLO,Business,23631.18,2021-11-14
ACCM789H8H2CTNL,CUSL9TIVL3TJELS,Savings,157765.9,2024-09-23
ACCMKBJYYR2QT4T,CUSPXN9ECAO6BFZ,Checking,110975.93,2025-03-09
ACC8EHB542QYLQQ,CUSEFAF0ISZHRKD,Checking,50360.56,2020-12-13
ACCT5000OXZIG10,CUS7FNM9IRKVVYD,Checking,13302.67,2025-03-26
ACC96SFZ9XWGCNF,CUSO00KM9WFWK1S,Checking,7634.61,2024-12-04
ACCNJVTIOA8K6II,CUSH8G80SA29SJ6,Savings,143629.39,2019-04-11
ACCE3NNHZA1J369,CUSASCB54GD0EVE,Checking,159860.77,2020-12-16
ACC4ZVZOH6GC8AY,CUS2TS626MARL20,Business,105685.53,2022-07-07
ACC53ETT5NBD3AB,CUSS5YFORFS003M,Business,62200.3,2025-02-26
ACCK8SY5FMEW7HL,CUS3QYLJK5LR1W9,Checking,59447.81,2025-11-04
ACCSRJXRK6Y6AG2,CUS1STCYT9CMQKD,Checking,95018.26,2020-03-19
ACCP8QHTEC67MTY,CUSNIWPSULW9T22,Checking,190651.43,2021-01-20
ACC3D00RFNBQR8Q,CUSXTP92KCOKANU,Business,67002.25,2024-12-11
ACCUYQS434CP4QZ,CUSZAKF24ZHCL20,Business,2763.3,2023-01-12
ACCISULDXB4WB45,CUSU2WC65PTNY89,Savings,178201.7,2024-07-29
ACCO1VZMPEO7V7H,CUSWH37BG08LNVE,Checking,82906.07,2025-03-28
ACC12D8SNK9MPW6,CUSYUGDLBY1T6J7,Checking,186174.23,2024-07-13
ACC5033V7V3E9EL,CUS5SBJ0P0TNSWA,Checking,197509.35,2019-09-12
ACCM1T5020J3PL8,CUSJFCCQNYVHPK8,Savings,56263.88,2022-04-02
ACC69HLVFIIM95E,CUSGXYQRIJRPFOT,Business,80962.85,2023-05-22
ACC8P5N328BC75X,CUSNX3D0GLZGF0Y,Savings,140684.55,2020-11-02
ACCOOJ31UT6IQSD,CUSAPTGGQ3VBUOR,Business,179822.75,2024-10-31
ACC9FRXUDHQSKJQ,CUS3KD8T0XBR57V,Business,31945.04,2021-08-12
ACCEUV0CJA2V55M,CUS7ZJ3SWEBNVG5,Business,163339.98,2020-10-02
ACCD4G6HVUT99P5,CUS8FEK02DGZXUG,Checking,3720.28,2025-03-20
ACCBPPIT796D2X1,CUS38H8JPOWHDGN,Business,76100.7,2025-09-17
ACCZR1T5UA09DZJ,CUSEXB4Z7J8HWE2,Checking,195309.31,2022-06-29
ACCK60C8N0AZ3G1,CUS48W21JJJSHCD,Business,128444.77,2023-07-27
ACCZ0RT5XVHKHI6,CUSN2WDNX95DIHT,Business,49415.53,2020-10-05
ACCO04LEUXII4OR,CUSWWAGLMNEKI53,Checking,16226.71,2023-10-21
ACC0TTJXYHFZ98Z,CUSZJ21VRV5W4TI,Business,80099.58,2022-08-01
ACCLIYQ8GSIJS0S,CUSEG9RLIY8LZT8,Checking,169480.56,2025-11-26
ACC5R896B67XIFB,CUSU30K3W7O2DLW,Checking,82175.47,2025-11-18
ACCYTY5Y1IFR4I6,CUSQWYFJL6BY85N,Business,182811.81,2019-11-20
ACCAGLEE2GHJDE8,CUSYVBA32J98YWB,Checking,30983.75,2019-05-08
ACCVL1E5U03JDHZ,CUSWWQ6PA0BV4O9,Savings,15508.57,2025-04-30
ACCS2RO7OAOO4B1,CUSZ4PMY6O6LCGC,Savings,60080.06,2022-10-02
ACCMFM7907B74JV,CUSYNREFJU2DAMW,Business,73959.84,2022-01-06
ACC22045Y52ZAJK,CUSAOABWZWHDG4M,Checking,143227.57,2021-07-12
ACCXTVF1TDQJVVC,CUSFYR8FZMXPEIH,Checking,167128.79,2022-08-18
ACCPWETVIDV7D59,CUSDSSJ2W6BZW9H,Business,17831.14,2019-08-16
ACC2YHLHMFU0A7Q,CUSFHZKELAA1ZUY,Business,45763.25,2025-02-17
ACCU1R6ISJ4JBQH,CUS9UKSS1NG700A,Checking,87733.66,2025-10-13
ACCSUEWE31U4MKN,CUSMTMDYGH15BP9,Checking,22617.99,2021-12-27
ACCSSW9GQRWV2D4,CUSKC7T0PID8YW2,Business,125812.7,2024-12-25
ACCT08L443OTU4Q,CUSW5UY8XM41LKF,Savings,83825.38,2019-09-09
ACC7M1PQ9I246NR,CUSZ3KETVBWFP0Y,Savings,109164.45,2021-10-27
ACC9DMSL68ZE74V,CUS38WYZ0HQ5WJ0,Savings,87201.27,2020-03-04
ACCG5XHLYDC3RNB,CUSRV5ND614ISYB,Checking,154212.45,2020-05-24
ACCM9UXB2MOIL11,CUSQNDVIMP1JFHP,Business,121820.73,2025-06-29
ACCOTH5KADANQ78,CUS2YRI2KLLQSF2,Business,78551.06,2021-06-28
ACCBOCWBOR8KZT0,CUS4NVGUW6YZ7RY,Savings,63228.13,2020-08-27
ACCAQZEYYROEXMB,CUSHCNSU63RTR6O,Savings,97034.41,2021-01-24
ACC0AOWO682Q1Q1,CUSJWQ7PIBQY544,Business,147230.8,2021-08-13
ACC0UDPEBSF3V9K,CUSAZJF5428MT9F,Business,191529.06,2024-08-11
ACCIXEGM4VQ4Q7S,CUSOB2HUP4J3WWY,Savings,50349.08,2025-08-05
ACCGC0DX6T965KG,CUS2E3LAUKEACN0,Savings,101193.47,2023-04-26
ACC74XK7T821JRV,CUSQTAFJHUU2X6W,Savings,34501.0,2022-08-23
ACC3XKW65ZPFIBL,CUSMNJZ4808ZUOS,Checking,169325.14,2019-02-27
ACC150BXLTKLY4Y,CUS3IEZTWAUEO3G,Business,148213.65,2025-06-27
ACCIFG40D9SS9VE,CUSMAS0J4ZO9IVH,Checking,142360.25,2023-04-13
ACCR3VR2ON86EAI,CUSUGYWXZQXQY5R,Savings,188741.56,2023-07-26
ACCUYFZSFEA5NO5,CUSJJX9TRT4H95V,Savings,135933.12,2025-05-15
ACCK2JFOX3SOFQ1,CUSQ70VH5XVACIP,Business,147382.79,2020-05-18
ACC1P4T869ZZJKE,CUS4BSZ3XGFT5RH,Savings,145025.94,2020-04-18
ACCVT2XH39OLONR,CUSG996JLULYM7Y,Checking,106780.62,2022-08-14
ACC6CGA38AZ325Q,CUSQZLC0BLAEI9C,Business,93303.87,2025-10-10
ACCJOAQNR85L0OL,CUSR6OWEUSAHTBV,Business,109331.21,2023-09-02
ACCQQC9TJORAONP,CUSOSQGJQP9OETJ,Business,26991.2,2022-09-28
ACCOYRCALXH0ID1,CUSWKWSC4W5OEQW,Checking,78492.31,2020-08-15
ACCAA6HCAX4JVZC,CUS7YE3AJ4XKZOZ,Savings,198382.27,2019-12-20
ACCKRXQQQ62C1ZP,CUSH6LT6WBW44E8,Checking,192590.67,2025-04-14
ACCWAPV5UYAIWI0,CUSPNOCXJR0TQ3R,Business,185426.07,2022-05-11
ACCSYE6PEX228ZT,CUSFWMSYU5JQRK1,Savings,170377.62,2025-12-22
ACC0WED5FVNX103,CUSU31MGKCT3OU8,Savings,164499.47,2019-04-24
ACC7D2EZKDTQCDH,CUS80Y3S3P0TA1V,Savings,79108.4,2020-01-07
ACCHBH0T4FJTIIP,CUSRRZFVSJM3PIS,Business,147583.93,2022-04-29
ACCBXCBV27YX62G,CUSBKEZB2F0C5ZR,Business,80463.24,2022-02-20
ACC9QXGA16AH4IQ,CUSDLDCZ27X2SSF,Savings,41032.49,2022-09-27
ACC7XX4FFBZ7SDP,CUS23TBVX2M6BS3,Business,152183.49,2020-02-16
ACCQ3MXI55NAHZ0,CUSUP7IMJ7JECME,Business,42789.56,2022-01-05
ACCVAN19ZVGS3YK,CUSXOZR3SF9B33E,Business,74390.54,2020-07-26
ACCFN3SVXX4AOL4,CUSCTNPGBDRN3EV,Business,122289.73,2025-09-12
